country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
Tanzania,TZA,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Uganda,UGA,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Ukraine,UKR,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),LMC,Lower middle income,IBD,IBRD
Uruguay,URY,LCN,Latin America & Caribbean,,,HIC,High income,IBD,IBRD
United States,USA,NAC,North America,,,HIC,High income,LNX,Not classified
Uzbekistan,UZB,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend
St. Vincent and the Grenadines,VCT,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IDB,Blend
"Venezuela, RB",VEN,LCN,Latin America & Caribbean,,,INX,Not classified,IBD,IBRD
British Virgin Islands,VGB,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Virgin Islands (U.S.),VIR,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Vietnam,VNM,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD
Vanuatu,VUT,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
Samoa,WSM,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
Kosovo,XKX,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA
"Yemen, Rep.",YEM,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LIC,Low income,IDX,IDA
South Africa,ZAF,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
Zambia,ZMB,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Zimbabwe,ZWE,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDB,Blend
